 x0/64, x1/64,x2/64
 x0/64 + 0.9765625, x1/64 + 0.2265625,x2/64 + 0.015625
 x0/64 + 0.953125, x1/64 + 0.203125,x2/64 + 0.03125
 x0/64 + 0.96875, x1/64 + 0.203125,x2/64 + 0.03125
 x0/64 + 0.953125, x1/64 + 0.21875,x2/64 + 0.03125
 x0/64 + 0.96875, x1/64 + 0.21875,x2/64 + 0.03125
 x0/64 + 0.9609375, x1/64 + 0.2109375,x2/64 + 0.046875
 x0/64 + 0.90625, x1/64 + 0.15625,x2/64 + 0.0625
 x0/64 + 0.921875, x1/64 + 0.15625,x2/64 + 0.0625
 x0/64 + 0.90625, x1/64 + 0.171875,x2/64 + 0.0625
 x0/64 + 0.921875, x1/64 + 0.171875,x2/64 + 0.0625
 x0/64 + 0.9140625, x1/64 + 0.1640625,x2/64 + 0.078125
 x0/64 + 0.9375, x1/64 + 0.15625,x2/64 + 0.0625
 x0/64 + 0.953125, x1/64 + 0.15625,x2/64 + 0.0625
 x0/64 + 0.9375, x1/64 + 0.171875,x2/64 + 0.0625
 x0/64 + 0.953125, x1/64 + 0.171875,x2/64 + 0.0625
 x0/64 + 0.9453125, x1/64 + 0.1640625,x2/64 + 0.078125
 x0/64 + 0.90625, x1/64 + 0.1875,x2/64 + 0.0625
 x0/64 + 0.921875, x1/64 + 0.1875,x2/64 + 0.0625
 x0/64 + 0.90625, x1/64 + 0.203125,x2/64 + 0.0625
 x0/64 + 0.921875, x1/64 + 0.203125,x2/64 + 0.0625
 x0/64 + 0.9140625, x1/64 + 0.1953125,x2/64 + 0.078125
 x0/64 + 0.9375, x1/64 + 0.1875,x2/64 + 0.0625
 x0/64 + 0.953125, x1/64 + 0.1875,x2/64 + 0.0625
 x0/64 + 0.9375, x1/64 + 0.203125,x2/64 + 0.0625
 x0/64 + 0.953125, x1/64 + 0.203125,x2/64 + 0.0625
 x0/64 + 0.9453125, x1/64 + 0.1953125,x2/64 + 0.078125
 x0/64 + 0.921875, x1/64 + 0.171875,x2/64 + 0.09375
 x0/64 + 0.9375, x1/64 + 0.171875,x2/64 + 0.09375
 x0/64 + 0.921875, x1/64 + 0.1875,x2/64 + 0.09375
 x0/64 + 0.9375, x1/64 + 0.1875,x2/64 + 0.09375
 x0/64 + 0.9296875, x1/64 + 0.1796875,x2/64 + 0.109375
 x0/64 + 0.8125, x1/64 + 0.0625,x2/64 + 0.125
 x0/64 + 0.828125, x1/64 + 0.0625,x2/64 + 0.125
 x0/64 + 0.8125, x1/64 + 0.078125,x2/64 + 0.125
 x0/64 + 0.828125, x1/64 + 0.078125,x2/64 + 0.125
 x0/64 + 0.8203125, x1/64 + 0.0703125,x2/64 + 0.140625
 x0/64 + 0.84375, x1/64 + 0.0625,x2/64 + 0.125
 x0/64 + 0.859375, x1/64 + 0.0625,x2/64 + 0.125
 x0/64 + 0.84375, x1/64 + 0.078125,x2/64 + 0.125
 x0/64 + 0.859375, x1/64 + 0.078125,x2/64 + 0.125
 x0/64 + 0.8515625, x1/64 + 0.0703125,x2/64 + 0.140625
 x0/64 + 0.8125, x1/64 + 0.09375,x2/64 + 0.125
 x0/64 + 0.828125, x1/64 + 0.09375,x2/64 + 0.125
 x0/64 + 0.8125, x1/64 + 0.109375,x2/64 + 0.125
 x0/64 + 0.828125, x1/64 + 0.109375,x2/64 + 0.125
 x0/64 + 0.8203125, x1/64 + 0.1015625,x2/64 + 0.140625
 x0/64 + 0.84375, x1/64 + 0.09375,x2/64 + 0.125
 x0/64 + 0.859375, x1/64 + 0.09375,x2/64 + 0.125
 x0/64 + 0.84375, x1/64 + 0.109375,x2/64 + 0.125
 x0/64 + 0.859375, x1/64 + 0.109375,x2/64 + 0.125
 x0/64 + 0.8515625, x1/64 + 0.1015625,x2/64 + 0.140625
 x0/64 + 0.828125, x1/64 + 0.078125,x2/64 + 0.15625
 x0/64 + 0.84375, x1/64 + 0.078125,x2/64 + 0.15625
 x0/64 + 0.828125, x1/64 + 0.09375,x2/64 + 0.15625
 x0/64 + 0.84375, x1/64 + 0.09375,x2/64 + 0.15625
 x0/64 + 0.8359375, x1/64 + 0.0859375,x2/64 + 0.171875
 x0/64 + 0.875, x1/64 + 0.0625,x2/64 + 0.125
 x0/64 + 0.890625, x1/64 + 0.0625,x2/64 + 0.125
 x0/64 + 0.875, x1/64 + 0.078125,x2/64 + 0.125
 x0/64 + 0.890625, x1/64 + 0.078125,x2/64 + 0.125
 x0/64 + 0.8828125, x1/64 + 0.0703125,x2/64 + 0.140625
 x0/64 + 0.90625, x1/64 + 0.0625,x2/64 + 0.125
 x0/64 + 0.921875, x1/64 + 0.0625,x2/64 + 0.125
 x0/64 + 0.90625, x1/64 + 0.078125,x2/64 + 0.125
 x0/64 + 0.921875, x1/64 + 0.078125,x2/64 + 0.125
 x0/64 + 0.9140625, x1/64 + 0.0703125,x2/64 + 0.140625
 x0/64 + 0.875, x1/64 + 0.09375,x2/64 + 0.125
 x0/64 + 0.890625, x1/64 + 0.09375,x2/64 + 0.125
 x0/64 + 0.875, x1/64 + 0.109375,x2/64 + 0.125
 x0/64 + 0.890625, x1/64 + 0.109375,x2/64 + 0.125
 x0/64 + 0.8828125, x1/64 + 0.1015625,x2/64 + 0.140625
 x0/64 + 0.90625, x1/64 + 0.09375,x2/64 + 0.125
 x0/64 + 0.921875, x1/64 + 0.09375,x2/64 + 0.125
 x0/64 + 0.90625, x1/64 + 0.109375,x2/64 + 0.125
 x0/64 + 0.921875, x1/64 + 0.109375,x2/64 + 0.125
 x0/64 + 0.9140625, x1/64 + 0.1015625,x2/64 + 0.140625
 x0/64 + 0.890625, x1/64 + 0.078125,x2/64 + 0.15625
 x0/64 + 0.90625, x1/64 + 0.078125,x2/64 + 0.15625
 x0/64 + 0.890625, x1/64 + 0.09375,x2/64 + 0.15625
 x0/64 + 0.90625, x1/64 + 0.09375,x2/64 + 0.15625
 x0/64 + 0.8984375, x1/64 + 0.0859375,x2/64 + 0.171875
 x0/64 + 0.8125, x1/64 + 0.125,x2/64 + 0.125
 x0/64 + 0.828125, x1/64 + 0.125,x2/64 + 0.125
 x0/64 + 0.8125, x1/64 + 0.140625,x2/64 + 0.125
 x0/64 + 0.828125, x1/64 + 0.140625,x2/64 + 0.125
 x0/64 + 0.8203125, x1/64 + 0.1328125,x2/64 + 0.140625
 x0/64 + 0.84375, x1/64 + 0.125,x2/64 + 0.125
 x0/64 + 0.859375, x1/64 + 0.125,x2/64 + 0.125
 x0/64 + 0.84375, x1/64 + 0.140625,x2/64 + 0.125
 x0/64 + 0.859375, x1/64 + 0.140625,x2/64 + 0.125
 x0/64 + 0.8515625, x1/64 + 0.1328125,x2/64 + 0.140625
 x0/64 + 0.8125, x1/64 + 0.15625,x2/64 + 0.125
 x0/64 + 0.828125, x1/64 + 0.15625,x2/64 + 0.125
 x0/64 + 0.8125, x1/64 + 0.171875,x2/64 + 0.125
 x0/64 + 0.828125, x1/64 + 0.171875,x2/64 + 0.125
 x0/64 + 0.8203125, x1/64 + 0.1640625,x2/64 + 0.140625
 x0/64 + 0.84375, x1/64 + 0.15625,x2/64 + 0.125
 x0/64 + 0.859375, x1/64 + 0.15625,x2/64 + 0.125
 x0/64 + 0.84375, x1/64 + 0.171875,x2/64 + 0.125
 x0/64 + 0.859375, x1/64 + 0.171875,x2/64 + 0.125
 x0/64 + 0.8515625, x1/64 + 0.1640625,x2/64 + 0.140625
 x0/64 + 0.828125, x1/64 + 0.140625,x2/64 + 0.15625
 x0/64 + 0.84375, x1/64 + 0.140625,x2/64 + 0.15625
 x0/64 + 0.828125, x1/64 + 0.15625,x2/64 + 0.15625
 x0/64 + 0.84375, x1/64 + 0.15625,x2/64 + 0.15625
 x0/64 + 0.8359375, x1/64 + 0.1484375,x2/64 + 0.171875
 x0/64 + 0.875, x1/64 + 0.125,x2/64 + 0.125
 x0/64 + 0.890625, x1/64 + 0.125,x2/64 + 0.125
 x0/64 + 0.875, x1/64 + 0.140625,x2/64 + 0.125
 x0/64 + 0.890625, x1/64 + 0.140625,x2/64 + 0.125
 x0/64 + 0.8828125, x1/64 + 0.1328125,x2/64 + 0.140625
 x0/64 + 0.90625, x1/64 + 0.125,x2/64 + 0.125
 x0/64 + 0.921875, x1/64 + 0.125,x2/64 + 0.125
 x0/64 + 0.90625, x1/64 + 0.140625,x2/64 + 0.125
 x0/64 + 0.921875, x1/64 + 0.140625,x2/64 + 0.125
 x0/64 + 0.9140625, x1/64 + 0.1328125,x2/64 + 0.140625
 x0/64 + 0.875, x1/64 + 0.15625,x2/64 + 0.125
 x0/64 + 0.890625, x1/64 + 0.15625,x2/64 + 0.125
 x0/64 + 0.875, x1/64 + 0.171875,x2/64 + 0.125
 x0/64 + 0.890625, x1/64 + 0.171875,x2/64 + 0.125
 x0/64 + 0.8828125, x1/64 + 0.1640625,x2/64 + 0.140625
 x0/64 + 0.90625, x1/64 + 0.15625,x2/64 + 0.125
 x0/64 + 0.921875, x1/64 + 0.15625,x2/64 + 0.125
 x0/64 + 0.90625, x1/64 + 0.171875,x2/64 + 0.125
 x0/64 + 0.921875, x1/64 + 0.171875,x2/64 + 0.125
 x0/64 + 0.9140625, x1/64 + 0.1640625,x2/64 + 0.140625
 x0/64 + 0.890625, x1/64 + 0.140625,x2/64 + 0.15625
 x0/64 + 0.90625, x1/64 + 0.140625,x2/64 + 0.15625
 x0/64 + 0.890625, x1/64 + 0.15625,x2/64 + 0.15625
 x0/64 + 0.90625, x1/64 + 0.15625,x2/64 + 0.15625
 x0/64 + 0.8984375, x1/64 + 0.1484375,x2/64 + 0.171875
 x0/64 + 0.84375, x1/64 + 0.09375,x2/64 + 0.1875
 x0/64 + 0.859375, x1/64 + 0.09375,x2/64 + 0.1875
 x0/64 + 0.84375, x1/64 + 0.109375,x2/64 + 0.1875
 x0/64 + 0.859375, x1/64 + 0.109375,x2/64 + 0.1875
 x0/64 + 0.8515625, x1/64 + 0.1015625,x2/64 + 0.203125
 x0/64 + 0.875, x1/64 + 0.09375,x2/64 + 0.1875
 x0/64 + 0.890625, x1/64 + 0.09375,x2/64 + 0.1875
 x0/64 + 0.875, x1/64 + 0.109375,x2/64 + 0.1875
 x0/64 + 0.890625, x1/64 + 0.109375,x2/64 + 0.1875
 x0/64 + 0.8828125, x1/64 + 0.1015625,x2/64 + 0.203125
 x0/64 + 0.84375, x1/64 + 0.125,x2/64 + 0.1875
 x0/64 + 0.859375, x1/64 + 0.125,x2/64 + 0.1875
 x0/64 + 0.84375, x1/64 + 0.140625,x2/64 + 0.1875
 x0/64 + 0.859375, x1/64 + 0.140625,x2/64 + 0.1875
 x0/64 + 0.8515625, x1/64 + 0.1328125,x2/64 + 0.203125
 x0/64 + 0.875, x1/64 + 0.125,x2/64 + 0.1875
 x0/64 + 0.890625, x1/64 + 0.125,x2/64 + 0.1875
 x0/64 + 0.875, x1/64 + 0.140625,x2/64 + 0.1875
 x0/64 + 0.890625, x1/64 + 0.140625,x2/64 + 0.1875
 x0/64 + 0.8828125, x1/64 + 0.1328125,x2/64 + 0.203125
 x0/64 + 0.859375, x1/64 + 0.109375,x2/64 + 0.21875
 x0/64 + 0.875, x1/64 + 0.109375,x2/64 + 0.21875
 x0/64 + 0.859375, x1/64 + 0.125,x2/64 + 0.21875
 x0/64 + 0.875, x1/64 + 0.125,x2/64 + 0.21875
 x0/64 + 0.8671875, x1/64 + 0.1171875,x2/64 + 0.234375
 x0/64 + 0.5, x1/64 + 0.25,x2/64
 x0/64 + 0.515625, x1/64 + 0.25,x2/64
 x0/64 + 0.5, x1/64 + 0.265625,x2/64
 x0/64 + 0.515625, x1/64 + 0.265625,x2/64
 x0/64 + 0.5078125, x1/64 + 0.2578125,x2/64 + 0.015625
 x0/64 + 0.53125, x1/64 + 0.25,x2/64
 x0/64 + 0.546875, x1/64 + 0.25,x2/64
 x0/64 + 0.53125, x1/64 + 0.265625,x2/64
 x0/64 + 0.546875, x1/64 + 0.265625,x2/64
 x0/64 + 0.5390625, x1/64 + 0.2578125,x2/64 + 0.015625
 x0/64 + 0.5, x1/64 + 0.28125,x2/64
 x0/64 + 0.515625, x1/64 + 0.28125,x2/64
 x0/64 + 0.5, x1/64 + 0.296875,x2/64
 x0/64 + 0.515625, x1/64 + 0.296875,x2/64
 x0/64 + 0.5078125, x1/64 + 0.2890625,x2/64 + 0.015625
 x0/64 + 0.53125, x1/64 + 0.28125,x2/64
 x0/64 + 0.546875, x1/64 + 0.28125,x2/64
 x0/64 + 0.53125, x1/64 + 0.296875,x2/64
 x0/64 + 0.546875, x1/64 + 0.296875,x2/64
 x0/64 + 0.5390625, x1/64 + 0.2890625,x2/64 + 0.015625
 x0/64 + 0.515625, x1/64 + 0.265625,x2/64 + 0.03125
 x0/64 + 0.53125, x1/64 + 0.265625,x2/64 + 0.03125
 x0/64 + 0.515625, x1/64 + 0.28125,x2/64 + 0.03125
 x0/64 + 0.53125, x1/64 + 0.28125,x2/64 + 0.03125
 x0/64 + 0.5234375, x1/64 + 0.2734375,x2/64 + 0.046875
 x0/64 + 0.5625, x1/64 + 0.25,x2/64
 x0/64 + 0.578125, x1/64 + 0.25,x2/64
 x0/64 + 0.5625, x1/64 + 0.265625,x2/64
 x0/64 + 0.578125, x1/64 + 0.265625,x2/64
 x0/64 + 0.5703125, x1/64 + 0.2578125,x2/64 + 0.015625
 x0/64 + 0.59375, x1/64 + 0.25,x2/64
 x0/64 + 0.609375, x1/64 + 0.25,x2/64
 x0/64 + 0.59375, x1/64 + 0.265625,x2/64
 x0/64 + 0.609375, x1/64 + 0.265625,x2/64
 x0/64 + 0.6015625, x1/64 + 0.2578125,x2/64 + 0.015625
 x0/64 + 0.5625, x1/64 + 0.28125,x2/64
 x0/64 + 0.578125, x1/64 + 0.28125,x2/64
 x0/64 + 0.5625, x1/64 + 0.296875,x2/64
 x0/64 + 0.578125, x1/64 + 0.296875,x2/64
 x0/64 + 0.5703125, x1/64 + 0.2890625,x2/64 + 0.015625
 x0/64 + 0.59375, x1/64 + 0.28125,x2/64
 x0/64 + 0.609375, x1/64 + 0.28125,x2/64
 x0/64 + 0.59375, x1/64 + 0.296875,x2/64
 x0/64 + 0.609375, x1/64 + 0.296875,x2/64
 x0/64 + 0.6015625, x1/64 + 0.2890625,x2/64 + 0.015625
 x0/64 + 0.578125, x1/64 + 0.265625,x2/64 + 0.03125
 x0/64 + 0.59375, x1/64 + 0.265625,x2/64 + 0.03125
 x0/64 + 0.578125, x1/64 + 0.28125,x2/64 + 0.03125
 x0/64 + 0.59375, x1/64 + 0.28125,x2/64 + 0.03125
 x0/64 + 0.5859375, x1/64 + 0.2734375,x2/64 + 0.046875
 x0/64 + 0.5, x1/64 + 0.3125,x2/64
 x0/64 + 0.515625, x1/64 + 0.3125,x2/64
 x0/64 + 0.5, x1/64 + 0.328125,x2/64
 x0/64 + 0.515625, x1/64 + 0.328125,x2/64
 x0/64 + 0.5078125, x1/64 + 0.3203125,x2/64 + 0.015625
 x0/64 + 0.53125, x1/64 + 0.3125,x2/64
 x0/64 + 0.546875, x1/64 + 0.3125,x2/64
 x0/64 + 0.53125, x1/64 + 0.328125,x2/64
 x0/64 + 0.546875, x1/64 + 0.328125,x2/64
 x0/64 + 0.5390625, x1/64 + 0.3203125,x2/64 + 0.015625
 x0/64 + 0.5, x1/64 + 0.34375,x2/64
 x0/64 + 0.515625, x1/64 + 0.34375,x2/64
 x0/64 + 0.5, x1/64 + 0.359375,x2/64
 x0/64 + 0.515625, x1/64 + 0.359375,x2/64
 x0/64 + 0.5078125, x1/64 + 0.3515625,x2/64 + 0.015625
 x0/64 + 0.53125, x1/64 + 0.34375,x2/64
 x0/64 + 0.546875, x1/64 + 0.34375,x2/64
 x0/64 + 0.53125, x1/64 + 0.359375,x2/64
 x0/64 + 0.546875, x1/64 + 0.359375,x2/64
 x0/64 + 0.5390625, x1/64 + 0.3515625,x2/64 + 0.015625
 x0/64 + 0.515625, x1/64 + 0.328125,x2/64 + 0.03125
 x0/64 + 0.53125, x1/64 + 0.328125,x2/64 + 0.03125
 x0/64 + 0.515625, x1/64 + 0.34375,x2/64 + 0.03125
 x0/64 + 0.53125, x1/64 + 0.34375,x2/64 + 0.03125
 x0/64 + 0.5234375, x1/64 + 0.3359375,x2/64 + 0.046875
 x0/64 + 0.5625, x1/64 + 0.3125,x2/64
 x0/64 + 0.578125, x1/64 + 0.3125,x2/64
 x0/64 + 0.5625, x1/64 + 0.328125,x2/64
 x0/64 + 0.578125, x1/64 + 0.328125,x2/64
 x0/64 + 0.5703125, x1/64 + 0.3203125,x2/64 + 0.015625
 x0/64 + 0.59375, x1/64 + 0.3125,x2/64
 x0/64 + 0.609375, x1/64 + 0.3125,x2/64
 x0/64 + 0.59375, x1/64 + 0.328125,x2/64
 x0/64 + 0.609375, x1/64 + 0.328125,x2/64
 x0/64 + 0.6015625, x1/64 + 0.3203125,x2/64 + 0.015625
 x0/64 + 0.5625, x1/64 + 0.34375,x2/64
 x0/64 + 0.578125, x1/64 + 0.34375,x2/64
 x0/64 + 0.5625, x1/64 + 0.359375,x2/64
 x0/64 + 0.578125, x1/64 + 0.359375,x2/64
 x0/64 + 0.5703125, x1/64 + 0.3515625,x2/64 + 0.015625
 x0/64 + 0.59375, x1/64 + 0.34375,x2/64
 x0/64 + 0.609375, x1/64 + 0.34375,x2/64
 x0/64 + 0.59375, x1/64 + 0.359375,x2/64
 x0/64 + 0.609375, x1/64 + 0.359375,x2/64
 x0/64 + 0.6015625, x1/64 + 0.3515625,x2/64 + 0.015625
 x0/64 + 0.578125, x1/64 + 0.328125,x2/64 + 0.03125
 x0/64 + 0.59375, x1/64 + 0.328125,x2/64 + 0.03125
 x0/64 + 0.578125, x1/64 + 0.34375,x2/64 + 0.03125
 x0/64 + 0.59375, x1/64 + 0.34375,x2/64 + 0.03125
 x0/64 + 0.5859375, x1/64 + 0.3359375,x2/64 + 0.046875
 x0/64 + 0.53125, x1/64 + 0.28125,x2/64 + 0.0625
 x0/64 + 0.546875, x1/64 + 0.28125,x2/64 + 0.0625
 x0/64 + 0.53125, x1/64 + 0.296875,x2/64 + 0.0625
 x0/64 + 0.546875, x1/64 + 0.296875,x2/64 + 0.0625
 x0/64 + 0.5390625, x1/64 + 0.2890625,x2/64 + 0.078125
 x0/64 + 0.5625, x1/64 + 0.28125,x2/64 + 0.0625
 x0/64 + 0.578125, x1/64 + 0.28125,x2/64 + 0.0625
 x0/64 + 0.5625, x1/64 + 0.296875,x2/64 + 0.0625
 x0/64 + 0.578125, x1/64 + 0.296875,x2/64 + 0.0625
 x0/64 + 0.5703125, x1/64 + 0.2890625,x2/64 + 0.078125
 x0/64 + 0.53125, x1/64 + 0.3125,x2/64 + 0.0625
 x0/64 + 0.546875, x1/64 + 0.3125,x2/64 + 0.0625
 x0/64 + 0.53125, x1/64 + 0.328125,x2/64 + 0.0625
 x0/64 + 0.546875, x1/64 + 0.328125,x2/64 + 0.0625
 x0/64 + 0.5390625, x1/64 + 0.3203125,x2/64 + 0.078125
 x0/64 + 0.5625, x1/64 + 0.3125,x2/64 + 0.0625
 x0/64 + 0.578125, x1/64 + 0.3125,x2/64 + 0.0625
 x0/64 + 0.5625, x1/64 + 0.328125,x2/64 + 0.0625
 x0/64 + 0.578125, x1/64 + 0.328125,x2/64 + 0.0625
 x0/64 + 0.5703125, x1/64 + 0.3203125,x2/64 + 0.078125
 x0/64 + 0.546875, x1/64 + 0.296875,x2/64 + 0.09375
 x0/64 + 0.5625, x1/64 + 0.296875,x2/64 + 0.09375
 x0/64 + 0.546875, x1/64 + 0.3125,x2/64 + 0.09375
 x0/64 + 0.5625, x1/64 + 0.3125,x2/64 + 0.09375
 x0/64 + 0.5546875, x1/64 + 0.3046875,x2/64 + 0.109375
 x0/64 + 0.625, x1/64 + 0.25,x2/64
 x0/64 + 0.640625, x1/64 + 0.25,x2/64
 x0/64 + 0.625, x1/64 + 0.265625,x2/64
 x0/64 + 0.640625, x1/64 + 0.265625,x2/64
 x0/64 + 0.6328125, x1/64 + 0.2578125,x2/64 + 0.015625
 x0/64 + 0.65625, x1/64 + 0.25,x2/64
 x0/64 + 0.671875, x1/64 + 0.25,x2/64
 x0/64 + 0.65625, x1/64 + 0.265625,x2/64
 x0/64 + 0.671875, x1/64 + 0.265625,x2/64
 x0/64 + 0.6640625, x1/64 + 0.2578125,x2/64 + 0.015625
 x0/64 + 0.625, x1/64 + 0.28125,x2/64
 x0/64 + 0.640625, x1/64 + 0.28125,x2/64
 x0/64 + 0.625, x1/64 + 0.296875,x2/64
 x0/64 + 0.640625, x1/64 + 0.296875,x2/64
 x0/64 + 0.6328125, x1/64 + 0.2890625,x2/64 + 0.015625
 x0/64 + 0.65625, x1/64 + 0.28125,x2/64
 x0/64 + 0.671875, x1/64 + 0.28125,x2/64
 x0/64 + 0.65625, x1/64 + 0.296875,x2/64
 x0/64 + 0.671875, x1/64 + 0.296875,x2/64
 x0/64 + 0.6640625, x1/64 + 0.2890625,x2/64 + 0.015625
 x0/64 + 0.640625, x1/64 + 0.265625,x2/64 + 0.03125
 x0/64 + 0.65625, x1/64 + 0.265625,x2/64 + 0.03125
 x0/64 + 0.640625, x1/64 + 0.28125,x2/64 + 0.03125
 x0/64 + 0.65625, x1/64 + 0.28125,x2/64 + 0.03125
 x0/64 + 0.6484375, x1/64 + 0.2734375,x2/64 + 0.046875
 x0/64 + 0.6875, x1/64 + 0.25,x2/64
 x0/64 + 0.703125, x1/64 + 0.25,x2/64
 x0/64 + 0.6875, x1/64 + 0.265625,x2/64
 x0/64 + 0.703125, x1/64 + 0.265625,x2/64
 x0/64 + 0.6953125, x1/64 + 0.2578125,x2/64 + 0.015625
 x0/64 + 0.71875, x1/64 + 0.25,x2/64
 x0/64 + 0.734375, x1/64 + 0.25,x2/64
 x0/64 + 0.71875, x1/64 + 0.265625,x2/64
 x0/64 + 0.734375, x1/64 + 0.265625,x2/64
 x0/64 + 0.7265625, x1/64 + 0.2578125,x2/64 + 0.015625
 x0/64 + 0.6875, x1/64 + 0.28125,x2/64
 x0/64 + 0.703125, x1/64 + 0.28125,x2/64
 x0/64 + 0.6875, x1/64 + 0.296875,x2/64
 x0/64 + 0.703125, x1/64 + 0.296875,x2/64
 x0/64 + 0.6953125, x1/64 + 0.2890625,x2/64 + 0.015625
 x0/64 + 0.71875, x1/64 + 0.28125,x2/64
 x0/64 + 0.734375, x1/64 + 0.28125,x2/64
 x0/64 + 0.71875, x1/64 + 0.296875,x2/64
 x0/64 + 0.734375, x1/64 + 0.296875,x2/64
 x0/64 + 0.7265625, x1/64 + 0.2890625,x2/64 + 0.015625
 x0/64 + 0.703125, x1/64 + 0.265625,x2/64 + 0.03125
 x0/64 + 0.71875, x1/64 + 0.265625,x2/64 + 0.03125
 x0/64 + 0.703125, x1/64 + 0.28125,x2/64 + 0.03125
 x0/64 + 0.71875, x1/64 + 0.28125,x2/64 + 0.03125
 x0/64 + 0.7109375, x1/64 + 0.2734375,x2/64 + 0.046875
 x0/64 + 0.625, x1/64 + 0.3125,x2/64
 x0/64 + 0.640625, x1/64 + 0.3125,x2/64
 x0/64 + 0.625, x1/64 + 0.328125,x2/64
 x0/64 + 0.640625, x1/64 + 0.328125,x2/64
 x0/64 + 0.6328125, x1/64 + 0.3203125,x2/64 + 0.015625
 x0/64 + 0.65625, x1/64 + 0.3125,x2/64
 x0/64 + 0.671875, x1/64 + 0.3125,x2/64
 x0/64 + 0.65625, x1/64 + 0.328125,x2/64
 x0/64 + 0.671875, x1/64 + 0.328125,x2/64
 x0/64 + 0.6640625, x1/64 + 0.3203125,x2/64 + 0.015625
 x0/64 + 0.625, x1/64 + 0.34375,x2/64
 x0/64 + 0.640625, x1/64 + 0.34375,x2/64
 x0/64 + 0.625, x1/64 + 0.359375,x2/64
 x0/64 + 0.640625, x1/64 + 0.359375,x2/64
 x0/64 + 0.6328125, x1/64 + 0.3515625,x2/64 + 0.015625
 x0/64 + 0.65625, x1/64 + 0.34375,x2/64
 x0/64 + 0.671875, x1/64 + 0.34375,x2/64
 x0/64 + 0.65625, x1/64 + 0.359375,x2/64
 x0/64 + 0.671875, x1/64 + 0.359375,x2/64
 x0/64 + 0.6640625, x1/64 + 0.3515625,x2/64 + 0.015625
 x0/64 + 0.640625, x1/64 + 0.328125,x2/64 + 0.03125
 x0/64 + 0.65625, x1/64 + 0.328125,x2/64 + 0.03125
 x0/64 + 0.640625, x1/64 + 0.34375,x2/64 + 0.03125
 x0/64 + 0.65625, x1/64 + 0.34375,x2/64 + 0.03125
 x0/64 + 0.6484375, x1/64 + 0.3359375,x2/64 + 0.046875
 x0/64 + 0.6875, x1/64 + 0.3125,x2/64
 x0/64 + 0.703125, x1/64 + 0.3125,x2/64
 x0/64 + 0.6875, x1/64 + 0.328125,x2/64
 x0/64 + 0.703125, x1/64 + 0.328125,x2/64
 x0/64 + 0.6953125, x1/64 + 0.3203125,x2/64 + 0.015625
 x0/64 + 0.71875, x1/64 + 0.3125,x2/64
 x0/64 + 0.734375, x1/64 + 0.3125,x2/64
 x0/64 + 0.71875, x1/64 + 0.328125,x2/64
 x0/64 + 0.734375, x1/64 + 0.328125,x2/64
 x0/64 + 0.7265625, x1/64 + 0.3203125,x2/64 + 0.015625
 x0/64 + 0.6875, x1/64 + 0.34375,x2/64
 x0/64 + 0.703125, x1/64 + 0.34375,x2/64
 x0/64 + 0.6875, x1/64 + 0.359375,x2/64
 x0/64 + 0.703125, x1/64 + 0.359375,x2/64
 x0/64 + 0.6953125, x1/64 + 0.3515625,x2/64 + 0.015625
 x0/64 + 0.71875, x1/64 + 0.34375,x2/64
 x0/64 + 0.734375, x1/64 + 0.34375,x2/64
 x0/64 + 0.71875, x1/64 + 0.359375,x2/64
 x0/64 + 0.734375, x1/64 + 0.359375,x2/64
 x0/64 + 0.7265625, x1/64 + 0.3515625,x2/64 + 0.015625
 x0/64 + 0.703125, x1/64 + 0.328125,x2/64 + 0.03125
 x0/64 + 0.71875, x1/64 + 0.328125,x2/64 + 0.03125
 x0/64 + 0.703125, x1/64 + 0.34375,x2/64 + 0.03125
 x0/64 + 0.71875, x1/64 + 0.34375,x2/64 + 0.03125
 x0/64 + 0.7109375, x1/64 + 0.3359375,x2/64 + 0.046875
 x0/64 + 0.65625, x1/64 + 0.28125,x2/64 + 0.0625
 x0/64 + 0.671875, x1/64 + 0.28125,x2/64 + 0.0625
 x0/64 + 0.65625, x1/64 + 0.296875,x2/64 + 0.0625
 x0/64 + 0.671875, x1/64 + 0.296875,x2/64 + 0.0625
 x0/64 + 0.6640625, x1/64 + 0.2890625,x2/64 + 0.078125
 x0/64 + 0.6875, x1/64 + 0.28125,x2/64 + 0.0625
 x0/64 + 0.703125, x1/64 + 0.28125,x2/64 + 0.0625
 x0/64 + 0.6875, x1/64 + 0.296875,x2/64 + 0.0625
 x0/64 + 0.703125, x1/64 + 0.296875,x2/64 + 0.0625
 x0/64 + 0.6953125, x1/64 + 0.2890625,x2/64 + 0.078125
 x0/64 + 0.65625, x1/64 + 0.3125,x2/64 + 0.0625
 x0/64 + 0.671875, x1/64 + 0.3125,x2/64 + 0.0625
 x0/64 + 0.65625, x1/64 + 0.328125,x2/64 + 0.0625
 x0/64 + 0.671875, x1/64 + 0.328125,x2/64 + 0.0625
 x0/64 + 0.6640625, x1/64 + 0.3203125,x2/64 + 0.078125
 x0/64 + 0.6875, x1/64 + 0.3125,x2/64 + 0.0625
 x0/64 + 0.703125, x1/64 + 0.3125,x2/64 + 0.0625
 x0/64 + 0.6875, x1/64 + 0.328125,x2/64 + 0.0625
 x0/64 + 0.703125, x1/64 + 0.328125,x2/64 + 0.0625
 x0/64 + 0.6953125, x1/64 + 0.3203125,x2/64 + 0.078125
